AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,OCC_CODE,OCC_TITLE,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
01,Alabama,2,AL,29-1141,Registered Nurses,"53,340",1.7,25.503,1.2,,,36.04,"74,970",0.4,25.65,29.89,34.16,39.51,47.52,"53,360","62,160","71,040","82,170","98,840",,
02,Alaska,2,AK,29-1141,Registered Nurses,"7,040",2.2,21.92,1.03,,,53.86,"112,040",0.4,39.62,43.51,53.22,62.51,66.06,"82,400","90,510","110,690","130,010","137,400",,
04,Arizona,2,AZ,29-1141,Registered Nurses,"64,430",2,20.155,0.95,,,45.79,"95,230",0.5,33.62,39.13,46.58,50.7,59.37,"69,930","81,390","96,890","105,450","123,480",,
05,Arkansas,2,AR,29-1141,Registered Nurses,"28,320",1.4,21.97,1.03,,,37.36,"77,720",0.4,27.59,31.47,37.08,40.73,48.06,"57,380","65,450","77,130","84,720","99,960",,
06,California,2,CA,29-1141,Registered Nurses,"326,720",0.7,18.093,0.85,,,71.31,"148,330",0.3,48.14,57.55,67.47,82.79,100.42,"100,120","119,710","140,330","172,200","208,880",,
08,Colorado,2,CO,29-1141,Registered Nurses,"54,510",1.3,18.853,0.89,,,45.9,"95,470",0.3,36.56,39.32,46.4,50.18,58.52,"76,050","81,790","96,520","104,370","121,710",,
09,Connecticut,2,CT,29-1141,Registered Nurses,"39,020",1.6,23.198,1.09,,,49.84,"103,670",0.6,37.82,40.9,48.84,53.89,63.86,"78,660","85,080","101,590","112,100","132,840",,
10,Delaware,2,DE,29-1141,Registered Nurses,"13,260",2.1,27.822,1.31,,,45.89,"95,450",0.5,35.02,39.71,44.53,52.1,61.22,"72,850","82,600","92,610","108,360","127,340",,
11,District of Columbia,2,DC,29-1141,Registered Nurses,"9,790",2.9,13.81,0.65,,,52.52,"109,240",1.3,39.37,41.38,50.27,60.95,65.2,"81,880","86,080","104,550","126,770","135,620",,
12,Florida,2,FL,29-1141,Registered Nurses,"218,100",0.9,22.21,1.04,,,42.4,"88,200",0.3,32.05,37.05,39.83,47.72,53.14,"66,670","77,070","82,850","99,260","110,530",,
13,Georgia,2,GA,29-1141,Registered Nurses,"97,410",1.5,20.059,0.94,,,44.21,"91,960",0.4,31.78,36.83,41.61,50.38,60.01,"66,110","76,600","86,560","104,790","124,810",,
15,Hawaii,2,HI,29-1141,Registered Nurses,"13,100",2.4,21.099,0.99,,,59.48,"123,720",0.7,39.6,49.75,65.54,66.97,70.42,"82,380","103,480","136,320","139,310","146,480",,
16,Idaho,2,ID,29-1141,Registered Nurses,"14,540",2.1,17.214,0.81,,,43.16,"89,770",0.7,31.58,37.51,41.39,48.18,56.95,"65,690","78,020","86,100","100,220","118,460",,
17,Illinois,2,IL,29-1141,Registered Nurses,"139,900",1.2,23.066,1.08,,,43.81,"91,130",0.3,31.22,38.05,41.54,49.84,54,"64,930","79,150","86,410","103,660","112,320",,
18,Indiana,2,IN,29-1141,Registered Nurses,"68,950",1.4,21.638,1.02,,,41.27,"85,850",0.5,30.63,35.91,38.82,46.53,49.91,"63,720","74,690","80,740","96,780","103,820",,
19,Iowa,2,IA,29-1141,Registered Nurses,"33,480",1.3,21.438,1.01,,,37.39,"77,780",0.5,29.91,31.62,37,40,47.25,"62,210","65,770","76,960","83,200","98,280",,
20,Kansas,2,KS,29-1141,Registered Nurses,"32,640",1.5,22.805,1.07,,,38.19,"79,430",0.5,29.15,32.11,37.53,40.88,47.05,"60,630","66,790","78,060","85,020","97,870",,
21,Kentucky,2,KY,29-1141,Registered Nurses,"48,170",1.4,24.163,1.14,,,40.34,"83,900",0.5,30.38,34.83,38.42,45.76,50.21,"63,180","72,450","79,910","95,190","104,430",,
22,Louisiana,2,LA,29-1141,Registered Nurses,"46,790",1.3,24.479,1.15,,,40.44,"84,110",0.5,30.21,32.41,37.92,45,53.76,"62,830","67,420","78,880","93,600","111,810",,
23,Maine,2,ME,29-1141,Registered Nurses,"16,280",2.8,25.626,1.2,,,42.04,"87,440",0.7,31.89,36.97,39.84,47.11,50.42,"66,330","76,890","82,860","98,000","104,870",,
24,Maryland,2,MD,29-1141,Registered Nurses,"48,980",1.8,17.835,0.84,,,46.46,"96,650",0.6,36.28,39.17,46.55,50.4,58.24,"75,470","81,470","96,830","104,840","121,150",,
25,Massachusetts,2,MA,29-1141,Registered Nurses,"90,190",1.7,24.759,1.16,,,54.14,"112,610",0.7,36.99,40.38,49.03,63.93,83.46,"76,950","83,980","101,970","132,980","173,590",,
26,Michigan,2,MI,29-1141,Registered Nurses,"104,210",0.8,23.735,1.12,,,43.55,"90,580",0.3,33.73,38.48,41.19,48.66,51.33,"70,150","80,030","85,670","101,210","106,770",,
27,Minnesota,2,MN,29-1141,Registered Nurses,"64,740",1.8,22.167,1.04,,,47.82,"99,460",0.4,36.46,40.25,48.5,53.08,61.63,"75,830","83,730","100,870","110,400","128,200",,
