Provider CCN,Hospital Name,State Code,Medicare CBSA Number,cbsa,Fiscal Year Begin Date,Fiscal Year End Date,FTE - Employees on Payroll,Total Days (V + XVIII + XIX + Unknown),Number of Beds,fte_per_1000_days,fte_per_bed,cbsa_str,Facility ID,Facility Name,State,ZIP Code,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for birthing friendly designation,Hospital overall rating,Hospital overall rating footnote,MORT Group Measure Count,Safety Group Measure Count,READM Group Measure Count,Pt Exp Group Measure Count,TE Group Measure Count,AREA,AREA_TITLE_msa,PRIM_STATE_msa,TOT_EMP_msa,JOBS_1000_msa,A_MEAN_msa,H_MEAN_msa,PRIM_STATE,TOT_EMP_state,JOBS_1000_state,A_MEAN_state,H_MEAN_state,rn_emp_best,rn_jobs_per_1000_best,rn_wage_best,rn_hourly_best
144042,LAKE BEHAVIORAL HOSPITAL,IL,29404.0,29404.0,2022-10-01,2022-12-31,227.95,10311.0,161.0,22.107458054504896,1.41583850931677,29404.0,144042,LAKE BEHAVIORAL HOSPITAL,IL,60085,Psychiatric,Proprietary,No,,,19,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,IL,139900.0,23.066,91130.0,43.81,139900.0,23.066,91130.0,43.81
454155,OCEANS BEHAVIORAL HOSPITAL CORPUS CH,TX,18580.0,18580.0,2022-11-17,2022-12-31,68.01,1041.0,42.0,65.3314121037464,1.6192857142857144,18580.0,454155,OCEANS BEHAVIORAL HOSPITAL OF CORPUS CHRISTI,TX,78404,Psychiatric,Proprietary,No,,,19,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,TX,261050.0,18.853,91690.0,44.08,261050.0,18.853,91690.0,44.08
144043,MONTROSE BEHAVIORAL HEALTH HOSPITAL,IL,,,2022-10-03,2022-12-31,,,,,,,144043,MONTROSE BEHAVIORAL HEALTH HOSPITAL,IL,60640,Psychiatric,Proprietary,Yes,,,19,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,IL,139900.0,23.066,91130.0,43.81,139900.0,23.066,91130.0,43.81
030153,EAST VALLEY ER AND HOSPITAL,AZ,38060.0,38060.0,2022-10-14,2023-01-31,59.99,151.0,14.0,397.28476821192055,4.285,38060.0,030153,EAST VALLEY ER & HOSPITAL,AZ,85295,Acute Care Hospitals,Proprietary,Yes,,,16,7,8,11,8,12,,,,,,,,AZ,64430.0,20.155,95230.0,45.79,64430.0,20.155,95230.0,45.79
230110,COREWELL HEALTH LUDINGTON HOSPITAL,MI,99923.0,99923.0,2023-01-01,2023-06-30,309.08,3648.0,39.0,84.72587719298245,7.925128205128205,99923.0,230110,COREWELL HEALTH LUDINGTON HOSPITAL,MI,49431,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4.0,,7,8,11,8,12,,,,,,,,MI,104210.0,23.735,90580.0,43.55,104210.0,23.735,90580.0,43.55
110028,UNIVERSITY HEALTH SERVICES  INC.,GA,12260.0,12260.0,2023-01-01,2023-06-30,2286.19,60426.0,482.0,37.834541422566446,4.743132780082988,12260.0,110028,PIEDMONT AUGUSTA HOSPITAL,GA,30901,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2.0,,7,8,11,8,12,,,,,,,,GA,97410.0,20.059,91960.0,44.21,97410.0,20.059,91960.0,44.21
230078,LAKELAND COMMUNITY HOSP WATERVLIET,MI,35660.0,35660.0,2023-01-01,2023-06-30,123.1,11.0,26.0,11190.90909090909,4.734615384615385,35660.0,230078,COREWELL HEALTH WATERVLIET HOSPITAL,MI,49098,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,,16,7,8,11,8,12,,,,,,,,MI,104210.0,23.735,90580.0,43.55,104210.0,23.735,90580.0,43.55
230093,COREWELL HEALTH BIG RAPIDS,MI,99923.0,99923.0,2023-01-01,2023-06-30,317.35,3347.0,49.0,94.816253361219,6.476530612244899,99923.0,230093,COREWELL HEALTH BIG RAPIDS HOSPITAL,MI,49307,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,,7,8,11,8,12,,,,,,,,MI,104210.0,23.735,90580.0,43.55,104210.0,23.735,90580.0,43.55
340051,WATAUGA MEDICAL CENTER,NC,99934.0,99934.0,2022-10-01,2023-06-30,672.51,12976.0,121.0,51.82721948212084,5.557933884297521,99934.0,340051,WATAUGA MEDICAL CENTER,NC,28607,Acute Care Hospitals,Government - Local,Yes,Y,4.0,,7,8,11,8,12,,,,,,,,NC,108510.0,22.153,86270.0,41.48,108510.0,22.153,86270.0,41.48
341323,CHARLES A. CANNON MEMORIAL HOSPITAL,NC,99934.0,99934.0,2022-10-01,2023-06-30,131.06,1213.0,23.0,108.04616652926627,5.6982608695652175,99934.0,341323,CHARLES A CANNON JR MEMORIAL HOSPITAL,NC,28646,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,16,7,8,11,8,12,,,,,,,,NC,108510.0,22.153,86270.0,41.48,108510.0,22.153,86270.0,41.48
