AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,OCC_CODE,TOT_EMP,JOBS_1000,A_MEAN,H_MEAN,EMP_PRSE,LOC_QUOTIENT
10180,"Abilene, TX",4,TX,29-1141,1910,25.728,81010,38.95,3.3,1.21
10380,"Aguadilla, PR",4,PR,29-1141,710,14.624,35210,16.93,5.2,0.69
10420,"Akron, OH",4,OH,29-1141,7950,24.829,84540,40.65,1.3,1.17
10500,"Albany, GA",4,GA,29-1141,1380,23.38,86350,41.51,2.9,1.1
10540,"Albany, OR",4,OR,29-1141,580,12.715,115700,55.62,2.7,0.6
10580,"Albany-Schenectady-Troy, NY",4,NY,29-1141,10020,22.623,96980,46.63,1.6,1.06
10740,"Albuquerque, NM",4,NM,29-1141,9890,24.655,95660,45.99,2.4,1.16
10780,"Alexandria, LA",4,LA,29-1141,2160,36.388,81740,39.3,2.2,1.71
10900,"Allentown-Bethlehem-Easton, PA-NJ",4,PA,29-1141,10510,28.407,92680,44.56,1.5,1.33
11020,"Altoona, PA",4,PA,29-1141,1560,26.898,83830,40.3,2.0,1.26
11100,"Amarillo, TX",4,TX,29-1141,2830,23.132,87600,42.11,2.8,1.09
11180,"Ames, IA",4,IA,29-1141,1100,19.521,76730,36.89,2.5,0.92
11200,"Amherst Town-Northampton, MA",4,MA,29-1141,1360,19.399,100160,48.15,4.8,0.91
11260,"Anchorage, AK",4,AK,29-1141,4570,26.156,113350,54.49,1.8,1.23
11460,"Ann Arbor, MI",4,MI,29-1141,12030,55.249,97030,46.65,0.5,2.6
11500,"Anniston-Oxford, AL",4,AL,29-1141,1050,24.267,70740,34.01,2.3,1.14
11540,"Appleton, WI",4,WI,29-1141,2040,16.431,86050,41.37,2.4,0.77
11640,"Arecibo, PR",4,PR,29-1141,1030,29.358,35670,17.15,5.3,1.38
11700,"Asheville, NC",4,NC,29-1141,4760,25.391,85410,41.06,1.8,1.19
12020,"Athens-Clarke County, GA",4,GA,29-1141,2180,22.845,84070,40.42,1.6,1.07
12060,"Atlanta-Sandy Springs-Roswell, GA",4,GA,29-1141,54370,18.931,96640,46.46,2.0,0.89
12100,"Atlantic City-Hammonton, NJ",4,NJ,29-1141,3500,20.971,96560,46.42,2.4,0.99
12220,"Auburn-Opelika, AL",4,AL,29-1141,1350,18.843,84220,40.49,2.6,0.89
12260,"Augusta-Richmond County, GA-SC",4,GA,29-1141,7010,30.509,87660,42.15,1.4,1.43
12420,"Austin-Round Rock-San Marcos, TX",4,TX,29-1141,18420,14.617,93060,44.74,1.8,0.69
12540,"Bakersfield-Delano, CA",4,CA,29-1141,5410,16.152,131030,62.99,1.5,0.76
12580,"Baltimore-Columbia-Towson, MD",4,MD,29-1141,29030,21.655,97130,46.7,1.7,1.02
12620,"Bangor, ME",4,ME,29-1141,2130,29.717,87300,41.97,2.7,1.4
12700,"Barnstable Town, MA",4,MA,29-1141,1910,20.44,106110,51.01,3.9,0.96
12940,"Baton Rouge, LA",4,LA,29-1141,7930,19.675,80450,38.68,1.9,0.92
12980,"Battle Creek, MI",4,MI,29-1141,1320,24.528,94830,45.59,1.4,1.15
13020,"Bay City, MI",4,MI,29-1141,840,25.175,89410,42.99,4.1,1.18
13140,"Beaumont-Port Arthur, TX",4,TX,29-1141,2880,18.105,84570,40.66,2.3,0.85
13220,"Beckley, WV",4,WV,29-1141,1290,30.25,76780,36.91,2.7,1.42
13380,"Bellingham, WA",4,WA,29-1141,1670,18.345,110580,53.17,1.5,0.86
13460,"Bend, OR",4,OR,29-1141,2290,21.333,123300,59.28,1.7,1.0
13740,"Billings, MT",4,MT,29-1141,2520,26.843,89560,43.06,1.6,1.26
13780,"Binghamton, NY",4,NY,29-1141,2540,26.409,94390,45.38,1.1,1.24
13820,"Birmingham, AL",4,AL,29-1141,18330,35.391,78180,37.59,3.1,1.66
13900,"Bismarck, ND",4,ND,29-1141,2380,33.884,79620,38.28,2.9,1.59
13980,"Blacksburg-Christiansburg-Radford, VA",4,VA,29-1141,1190,15.943,78970,37.96,2.1,0.75
