AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,OCC_CODE,TOT_EMP,JOBS_1000,A_MEAN,H_MEAN,EMP_PRSE,LOC_QUOTIENT
1,Alabama,2,AL,29-1141,53340,25.503,74970,36.04,1.7,1.2
2,Alaska,2,AK,29-1141,7040,21.92,112040,53.86,2.2,1.03
4,Arizona,2,AZ,29-1141,64430,20.155,95230,45.79,2.0,0.95
5,Arkansas,2,AR,29-1141,28320,21.97,77720,37.36,1.4,1.03
6,California,2,CA,29-1141,326720,18.093,148330,71.31,0.7,0.85
8,Colorado,2,CO,29-1141,54510,18.853,95470,45.9,1.3,0.89
9,Connecticut,2,CT,29-1141,39020,23.198,103670,49.84,1.6,1.09
10,Delaware,2,DE,29-1141,13260,27.822,95450,45.89,2.1,1.31
11,District of Columbia,2,DC,29-1141,9790,13.81,109240,52.52,2.9,0.65
12,Florida,2,FL,29-1141,218100,22.21,88200,42.4,0.9,1.04
13,Georgia,2,GA,29-1141,97410,20.059,91960,44.21,1.5,0.94
15,Hawaii,2,HI,29-1141,13100,21.099,123720,59.48,2.4,0.99
16,Idaho,2,ID,29-1141,14540,17.214,89770,43.16,2.1,0.81
17,Illinois,2,IL,29-1141,139900,23.066,91130,43.81,1.2,1.08
18,Indiana,2,IN,29-1141,68950,21.638,85850,41.27,1.4,1.02
19,Iowa,2,IA,29-1141,33480,21.438,77780,37.39,1.3,1.01
20,Kansas,2,KS,29-1141,32640,22.805,79430,38.19,1.5,1.07
21,Kentucky,2,KY,29-1141,48170,24.163,83900,40.34,1.4,1.14
22,Louisiana,2,LA,29-1141,46790,24.479,84110,40.44,1.3,1.15
23,Maine,2,ME,29-1141,16280,25.626,87440,42.04,2.8,1.2
24,Maryland,2,MD,29-1141,48980,17.835,96650,46.46,1.8,0.84
25,Massachusetts,2,MA,29-1141,90190,24.759,112610,54.14,1.7,1.16
26,Michigan,2,MI,29-1141,104210,23.735,90580,43.55,0.8,1.12
27,Minnesota,2,MN,29-1141,64740,22.167,99460,47.82,1.8,1.04
28,Mississippi,2,MS,29-1141,29400,25.351,79470,38.21,1.8,1.19
29,Missouri,2,MO,29-1141,74270,25.452,81950,39.4,1.3,1.2
30,Montana,2,MT,29-1141,10540,20.666,88480,42.54,1.4,0.97
31,Nebraska,2,NE,29-1141,24180,23.801,82890,39.85,2.0,1.12
32,Nevada,2,NV,29-1141,27570,18.024,102280,49.17,2.2,0.85
33,New Hampshire,2,NH,29-1141,16580,24.266,94620,45.49,2.6,1.14
34,New Jersey,2,NJ,29-1141,95150,22.387,106990,51.44,2.2,1.05
35,New Mexico,2,NM,29-1141,17510,20.343,94360,45.37,2.4,0.96
36,New York,2,NY,29-1141,204120,21.392,110490,53.12,0.9,1.0
37,North Carolina,2,NC,29-1141,108510,22.153,86270,41.48,0.9,1.04
38,North Dakota,2,ND,29-1141,11000,25.953,81900,39.38,2.2,1.22
39,Ohio,2,OH,29-1141,138360,25.037,86110,41.4,0.9,1.18
40,Oklahoma,2,OK,29-1141,32870,19.426,85800,41.25,1.5,0.91
41,Oregon,2,OR,29-1141,39900,20.3,120470,57.92,1.6,0.95
42,Pennsylvania,2,PA,29-1141,146840,24.415,90830,43.67,1.3,1.15
44,Rhode Island,2,RI,29-1141,10760,21.796,99770,47.96,2.1,1.02
45,South Carolina,2,SC,29-1141,50300,22.143,84930,40.83,1.2,1.04
46,South Dakota,2,SD,29-1141,14500,32.017,72210,34.72,1.5,1.5
47,Tennessee,2,TN,29-1141,67990,20.765,82010,39.43,1.3,0.98
48,Texas,2,TX,29-1141,261050,18.853,91690,44.08,1.2,0.89
49,Utah,2,UT,29-1141,25780,15.078,88240,42.42,1.7,0.71
50,Vermont,2,VT,29-1141,7240,23.793,92710,44.57,2.2,1.12
51,Virginia,2,VA,29-1141,77420,19.048,90930,43.72,1.9,0.89
53,Washington,2,WA,29-1141,64690,18.275,115740,55.64,1.3,0.86
54,West Virginia,2,WV,29-1141,21740,30.996,80650,38.77,1.3,1.46
55,Wisconsin,2,WI,29-1141,64960,22.219,90450,43.48,1.4,1.04
56,Wyoming,2,WY,29-1141,5180,18.6,88020,42.32,2.2,0.87
66,Guam,3,GU,29-1141,680,10.952,,,3.1,0.51
72,Puerto Rico,3,PR,29-1141,22430,23.87,41470,19.94,1.5,1.12
78,Virgin Islands,3,VI,29-1141,470,13.671,73280,35.23,8.7,0.64
