Provider CCN,Hospital Name,State Code,Medicare CBSA Number,cbsa,Fiscal Year Begin Date,Fiscal Year End Date,FTE - Employees on Payroll,Total Days (V + XVIII + XIX + Unknown),Number of Beds,fte_per_1000_days,fte_per_bed
110130,IRWIN COUNTY HOSPITAL,GA,99911.0,99911,2022-12-01,2023-01-31,97.15,286.0,34.0,339.6853146853147,2.8573529411764707
144042,LAKE BEHAVIORAL HOSPITAL,IL,29404.0,29404,2022-10-01,2022-12-31,227.95,10311.0,161.0,22.107458054504896,1.41583850931677
043036,EVEREST REHABILITATION HOSPITAL BENT,AR,22220.0,22220,2023-01-01,2023-02-28,74.54,895.0,36.0,83.28491620111733,2.070555555555556
454155,OCEANS BEHAVIORAL HOSPITAL CORPUS CH,TX,18580.0,18580,2022-11-17,2022-12-31,68.01,1041.0,42.0,65.3314121037464,1.6192857142857144
144043,MONTROSE BEHAVIORAL HEALTH HOSPITAL,IL,,,2022-10-03,2022-12-31,,,,,
421303,WILLIAMSBURG REGIONAL HOSPITAL,SC,99942.0,99942,2022-10-01,2023-01-16,181.03,713.0,25.0,253.89901823281906,7.2412
083028,PAM REHAB HOSP OF GEORGETOWN,DE,41540.0,41540,2023-01-27,2023-04-30,81.59,1713.0,34.0,47.62988908347928,2.3997058823529414
030077,SAN CARLOS APACHE HEALTHCARE CORP,AZ,99903.0,99903,2022-10-01,2023-01-09,820.0,483.0,12.0,1697.7225672877846,68.33333333333333
313030,BACHARACH INSTITUTE FOR REHABILITATI,NJ,12100.0,12100,2023-01-01,2023-03-30,52.38,737.0,80.0,71.0719131614654,0.65475
673073,EVEREST REHABILITATION HOSPITAL LONG,TX,30980.0,30980,2023-01-01,2023-02-28,71.91,1565.0,36.0,45.948881789137374,1.9974999999999998
262017,SSH - SPRINGFIELD INC.,MO,44180.0,44180,2022-11-01,2023-01-31,43.2,3660.0,44.0,11.80327868852459,0.9818181818181819
030153,EAST VALLEY ER AND HOSPITAL,AZ,38060.0,38060,2022-10-14,2023-01-31,59.99,151.0,14.0,397.28476821192055,4.285
360090,ST. LUKES HOSPITAL,OH,45780.0,45780,2022-10-01,2023-05-08,765.03,10173.0,83.0,75.20200530816868,9.21722891566265
450697,SOUTHWEST GENERAL HOSPITAL,TX,41700.0,41700,2022-10-01,2023-04-30,632.4,24539.0,193.0,25.77122132116223,3.276683937823834
673074,EVEREST REHABILITATION HOSPITAL TEMP,TX,28660.0,28660,2023-01-01,2023-02-28,88.15,1310.0,36.0,67.29007633587787,2.448611111111111
523030,REHABILITATION HOSPITAL OF WESTERN W,WI,20740.0,20740,2023-03-29,2023-06-30,89.78,1251.0,36.0,71.7665867306155,2.493888888888889
363045,EVEREST REHABILITATION HOSPITAL NORT,OH,17140.0,17140,2023-01-01,2023-02-28,54.37,608.0,36.0,89.42434210526315,1.5102777777777776
230110,COREWELL HEALTH LUDINGTON HOSPITAL,MI,99923.0,99923,2023-01-01,2023-06-30,309.08,3648.0,39.0,84.72587719298245,7.925128205128205
110028,UNIVERSITY HEALTH SERVICES  INC.,GA,12260.0,12260,2023-01-01,2023-06-30,2286.19,60426.0,482.0,37.834541422566446,4.743132780082988
230078,LAKELAND COMMUNITY HOSP WATERVLIET,MI,35660.0,35660,2023-01-01,2023-06-30,123.1,11.0,26.0,11190.90909090909,4.734615384615385
230093,COREWELL HEALTH BIG RAPIDS,MI,99923.0,99923,2023-01-01,2023-06-30,317.35,3347.0,49.0,94.816253361219,6.476530612244899
340051,WATAUGA MEDICAL CENTER,NC,99934.0,99934,2022-10-01,2023-06-30,672.51,12976.0,121.0,51.82721948212084,5.557933884297521
341323,CHARLES A. CANNON MEMORIAL HOSPITAL,NC,99934.0,99934,2022-10-01,2023-06-30,131.06,1213.0,23.0,108.04616652926629,5.6982608695652175
444032,EAST TENNESSEE BEHAVIORAL HEALTH,TN,28940.0,28940,2022-11-15,2023-06-30,77.44,5769.0,90.0,13.423470272144218,0.8604444444444445
530034,SUMMIT MEDICAL CENTER  LLC,WY,16220.0,16220,2023-01-01,2023-06-30,43.63,91.0,16.0,479.4505494505495,2.726875
230003,COREWELL HEALTH ZEELAND,MI,24340.0,24340,2023-01-01,2023-06-30,274.2,3676.0,55.0,74.59194776931446,4.985454545454545
330163,EASTERN NIAGARA HOSPITAL,NY,15380.0,15380,2023-01-01,2023-06-17,250.1,2069.0,109.0,120.87965200579991,2.2944954128440367
030010,CARONDELET ST. MARYS HOSPITAL,AZ,46060.0,46060,2022-10-01,2023-06-30,648.72,30889.0,357.0,21.00165107319758,1.8171428571428572
030011,CARONDELET ST. JOSEPH HOSPITAL,AZ,46060.0,46060,2022-10-01,2023-06-30,820.36,40819.0,390.0,20.097503613513314,2.1034871794871797
230230,EDWARD W. SPARROW HOSPITAL,MI,29620.0,29620,2023-01-01,2023-06-30,4376.38,60970.0,441.0,71.77923568968345,9.923764172335602
230208,CARSON CITY HOSPITAL,MI,24340.0,24340,2023-01-01,2023-06-30,188.83,715.0,48.0,264.09790209790214,3.9339583333333334
390339,LANCASTER MEDICAL CENTER,PA,25420.0,25420,2022-12-06,2023-06-30,293.26,9558.0,100.0,30.682151077631303,2.9326
460003,SALT LAKE REGIONAL MEDICAL CENTER,UT,41620.0,41620,2023-05-01,2023-06-30,61.12,1024.0,102.0,59.6875,0.5992156862745098
140167,IROQUOIS MEMORIAL HOSPITAL,IL,99914.0,99914,2022-10-01,2023-07-16,150.9,774.0,25.0,194.96124031007753,6.0360000000000005
500148,WENATCHEE VALLEY HOSPITAL,WA,48300.0,48300,2023-01-01,2023-06-30,367.06,891.0,11.0,411.96408529741865,33.36909090909091
250172,DELTA HEALTH-HIGHLAND HILLS,MS,32820.0,32820,2022-10-01,2023-04-30,67.22,552.0,15.0,121.77536231884058,4.481333333333334
344034,DOROTHEA DIX BEHAVIORAL HEALTH,NC,99934.0,99934,2022-10-01,2023-06-30,49.11,4694.0,37.0,10.46229228802727,1.3272972972972972
510012,PLEASANT VALLEY HOSPITAL,WV,99951.0,99951,2022-10-01,2023-09-30,309.84,6206.0,43.0,49.92587818240412,7.205581395348837
364067,BLUESTONE CHILD AND ADOLESCENT PSYCH,OH,,,2023-01-27,2023-06-30,,,,,
053045,SACRAMENTO REHABILITATION HOSPITAL L,CA,40900.0,40900,2023-03-25,2023-04-30,82.9,490.0,50.0,169.18367346938777,1.6580000000000001
250163,PATIENTS CHOICE MED CNT-SMITH CNTY,MS,99925.0,99925,2023-01-01,2023-07-02,6.02,,19.0,,0.31684210526315787
033045,REUNION REHABILITATION HOSPITAL PEOR,AZ,38060.0,38060,2023-04-15,2023-07-31,,1103.0,40.0,,
250043,NESHOBA COUNTY GENERAL HOSPITAL,MS,99925.0,99925,2022-10-01,2023-09-30,290.47,2355.0,38.0,123.34182590233547,7.6439473684210535
050660,USC NORRIS CANCER HOSPITAL,CA,31084.0,31084,2022-10-01,2023-09-30,752.21,14527.0,60.0,51.780133544434506,12.536833333333334
014012,MARY S HARPER GERIATRIC PSYCH CEN,AL,46220.0,46220,2022-10-01,2023-09-30,335.29,23518.0,126.0,14.256739518666553,2.661031746031746
110161,NORTHSIDE HOSPITAL,GA,12060.0,12060,2022-10-01,2023-09-30,9885.66,227906.0,673.0,43.37604099935938,14.68894502228826
130025,MADISON MEMORIAL HOSPITAL,ID,99913.0,99913,2022-10-01,2023-09-30,535.48,7711.0,53.0,69.44365192582026,10.103396226415095
370030,BLACKWELL REGIONAL HOSPITAL,OK,99937.0,99937,2023-01-01,2023-06-30,30.28,408.0,34.0,74.2156862745098,0.8905882352941177
523031,GREEN BAY REHABILITATION HOSPITAL,WI,24580.0,24580,2023-05-05,2023-07-31,66.24,1171.0,40.0,56.56703672075149,1.656
370139,PERRY MEMORIAL HOSPITAL,OK,99937.0,99937,2023-01-01,2023-03-31,11.65,56.0,26.0,208.0357142857143,0.4480769230769231
010051,GREENE COUNTY HOSPITAL,AL,46220.0,46220,2022-10-01,2023-09-30,53.11,1878.0,20.0,28.280085197018103,2.6555
250018,JASPER GENERAL HOSPITAL,MS,99925.0,99925,2022-10-01,2023-09-30,82.64,1709.0,20.0,48.35576360444704,4.132
110111,UNIVERSITY HOSPITAL MCDUFFIE,GA,12260.0,12260,2023-01-01,2023-06-30,114.79,2045.0,25.0,56.132029339853304,4.591600000000001
420072,HAMPTON REGIONAL MEDICAL CENTER,SC,99942.0,99942,2022-10-01,2023-09-30,190.19,2366.0,32.0,80.38461538461539,5.9434375
373038,OKLAHOMA CITY REHABILITATION HOSPITA,OK,36420.0,36420,2022-11-29,2023-08-31,,5912.0,40.0,,
140052,OSF SAINT ANTHONYS HEALTH CENTER,IL,41180.0,41180,2022-10-01,2023-09-30,365.09,8420.0,49.0,43.35985748218527,7.450816326530612
373037,TULSA REHABILITATION HOSPITAL,OK,46140.0,46140,2022-10-18,2023-08-31,,7867.0,40.0,,
420067,BEAUFORT MEMORIAL HOSPITAL,SC,25940.0,25940,2022-10-01,2023-09-30,1395.62,32047.0,167.0,43.54916216806565,8.357005988023952
450085,GRAHAM REGIONAL MEDICAL CENTER,TX,99945.0,99945,2022-10-01,2023-08-03,114.31,378.0,25.0,302.4074074074074,4.5724
031313,CARONDELET HOLY CROSS HOSPITAL,AZ,99903.0,99903,2022-10-01,2023-06-30,117.3,2257.0,25.0,51.97164377492246,4.692
070031,THE GRIFFIN HOSPITAL,CT,35300.0,35300,2022-10-01,2023-09-30,1317.67,30330.0,101.0,43.44444444444444,13.046237623762377
454156,VOYAGES OF SUGAR LAND BH,TX,26420.0,26420,2023-02-01,2023-06-30,69.03,2865.0,60.0,24.094240837696336,1.1505
250060,JEFFERSON COUNTY HOSPITAL,MS,99925.0,99925,2022-10-01,2023-05-31,52.54,620.0,12.0,84.74193548387096,4.378333333333333
180106,THE MEDICAL CENTER OF ALBANY,KY,99918.0,99918,2023-04-01,2023-09-07,38.54,1237.0,20.0,31.156022635408245,1.927
110189,FANNIN REGIONAL HOSPITAL,GA,99911.0,99911,2023-01-01,2023-06-30,61.29,609.0,50.0,100.64039408866995,1.2258
131302,NORTH CANYON MEDICAL CENTER,ID,99913.0,99913,2022-10-01,2023-09-30,271.34,1251.0,16.0,216.89848121502794,16.95875
250097,SOUTHWEST MS REGIONAL MED CENTER,MS,99925.0,99925,2022-10-01,2023-09-30,824.95,18522.0,97.0,44.53892668178383,8.504639175257733
490115,TWIN COUNTY REGIONAL HOSPITAL,VA,99949.0,99949,2022-10-01,2023-09-30,310.1,8178.0,141.0,37.91880655416972,2.199290780141844
673071,ENCOMPASS HEALTH REHABILITATION HOSP,TX,26420.0,26420,2022-10-01,2023-09-30,160.12,16475.0,60.0,9.71896813353566,2.6686666666666667
433027,ENCOMPASS HEALTH REHABILITATION HOSP,SD,43620.0,43620,2022-10-01,2023-09-30,97.73,11642.0,40.0,8.394605737845731,2.44325
514011,HIGHLAND CLARKSBURG HOSPITAL INC,WV,,,2022-10-01,2023-09-30,,,,,
010034,COMMUNITY HOSPITAL INC.,AL,33860.0,33860,2022-10-01,2023-09-30,125.84,2416.0,37.0,52.08609271523179,3.401081081081081
123025,REHABILITATION HOSPITAL OF THE PACIF,HI,26180.0,26180,2022-10-01,2023-09-30,293.0,20767.0,82.0,14.108922810227764,3.573170731707317
140110,OTTAWA REGIONAL HOSPITAL & HEALTHCAR,IL,99914.0,99914,2022-10-01,2023-09-30,561.08,15696.0,89.0,35.7466870540265,6.304269662921349
241376,GLACIAL RIDGE HOSPITAL,MN,99924.0,99924,2022-10-01,2023-09-30,232.47,2462.0,19.0,94.42323314378554,12.235263157894737
471301,GIFFORD MEDICAL CENTER,VT,99947.0,99947,2022-10-01,2023-09-30,309.9,3582.0,25.0,86.51591289782245,12.395999999999999
421301,ABBEVILLE AREA MEDICAL CENTER,SC,99942.0,99942,2022-10-01,2023-09-30,150.91,3330.0,25.0,45.31831831831832,6.0363999999999995
490005,WINCHESTER MEDICAL CENTER,VA,49020.0,49020,2022-10-01,2023-09-30,2360.84,116362.0,455.0,20.288754060603978,5.188659340659341
521348,VERNON MEMORIAL HOSPITAL,WI,99952.0,99952,2022-10-01,2023-09-30,297.28,2739.0,18.0,108.53596202993792,16.515555555555554
013301,USA CHILDRENS AND WOMENS HOSPITAL,AL,33660.0,33660,2022-10-01,2023-09-30,1255.53,61088.0,245.0,20.5528090623363,5.124612244897959
110121,GRADY GENERAL HOSPITAL,GA,99911.0,99911,2022-10-01,2023-09-30,142.15,4259.0,44.0,33.376379431791506,3.2306818181818184
111331,MITCHELL COUNTY HOSPITAL,GA,99911.0,99911,2022-10-01,2023-09-30,129.64,4264.0,25.0,30.403377110694183,5.185599999999999
170150,SOUTH CENTRAL KS REGIONAL MEDICAL CT,KS,99917.0,99917,2023-01-01,2023-08-25,130.39,839.0,32.0,155.41120381406435,4.0746875
340008,SCOTLAND MEMORIAL HOSPITAL,NC,99934.0,99934,2022-10-01,2023-09-30,809.99,25475.0,104.0,31.795485770363097,7.788365384615385
490033,WARREN MEMORIAL HOSPITAL,VA,47894.0,47894,2022-10-01,2023-09-30,315.17,6439.0,36.0,48.94704146606616,8.754722222222222
673038,MEMORIAL HERMANN REHAB HOSP KATY,TX,26420.0,26420,2022-10-01,2023-09-30,157.03,9142.0,35.0,17.176766571866114,4.486571428571429
030138,WESTERN REGIONAL MEDICAL CENTER,AZ,38060.0,38060,2022-10-01,2023-09-30,365.28,2309.0,38.0,158.19835426591598,9.612631578947367
110038,JOHN D. ARCHBOLD MEMORIAL HOSPITAL,GA,99911.0,99911,2022-10-01,2023-09-30,1430.6,42254.0,199.0,33.85714961897098,7.18894472361809
130071,ST. LUKES NAMPA MEDICAL CENTER,ID,14260.0,14260,2022-10-01,2023-09-30,853.62,18832.0,87.0,45.328164825828374,9.811724137931035
201312,WALDO COUNTY GENERAL HOSPITAL,ME,99920.0,99920,2022-10-01,2023-09-30,520.5,7508.0,25.0,69.32605221097496,20.82
340068,COLUMBUS REGIONAL HEALTHCARE SYSTEM,NC,99934.0,99934,2022-10-01,2023-09-30,468.3,15309.0,154.0,30.589849108367627,3.040909090909091
421304,EDGEFIELD COUNTY HEALTHCARE,SC,12260.0,12260,2022-10-01,2023-09-30,108.99,3944.0,25.0,27.63438133874239,4.3595999999999995
010021,DALE MEDICAL CENTER,AL,99901.0,99901,2022-10-01,2023-09-30,272.1,6458.0,77.0,42.13378755032518,3.533766233766234
014014,BAYPOINTE BEHAVIORAL HEALTH,AL,,,2022-10-01,2023-09-30,,,,,
050169,PIH HEALTH WHITTIER HOSPITAL,CA,31084.0,31084,2022-10-01,2023-09-30,2908.82,96597.0,405.0,30.112943466153194,7.182271604938272
050393,PIH HEALTH HOSPITAL - DOWNEY,CA,31084.0,31084,2022-10-01,2023-09-30,991.11,32090.0,133.0,30.885322530383295,7.451954887218045
110233,SOUTHEASTERN REGIONAL MEDICAL CENTER,GA,12060.0,12060,2022-10-01,2023-09-30,586.73,4392.0,50.0,133.5906193078324,11.7346
200021,MID COAST HOSPITAL,ME,38860.0,38860,2022-10-01,2023-09-30,1047.53,25928.0,93.0,40.40149645171243,11.263763440860215
220084,EMERSON HOSPITAL,MA,15764.0,15764,2022-10-01,2023-09-30,1090.0,26943.0,111.0,40.45577701072635,9.81981981981982
250100,BAPTIST MEM HOSPITAL GOLDEN TRIANGLE,MS,99925.0,99925,2022-10-01,2023-09-30,983.36,28947.0,146.0,33.97105054064325,6.735342465753424
