Facility ID,Facility Name,State,ZIP Code,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for birthing friendly designation,Hospital overall rating,Hospital overall rating footnote,MORT Group Measure Count,Safety Group Measure Count,READM Group Measure Count,Pt Exp Group Measure Count,TE Group Measure Count
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,36301,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4.0,,7,8,11,8,12
010005,MARSHALL MEDICAL CENTERS,AL,35957,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3.0,,7,8,11,8,12
010006,NORTH ALABAMA MEDICAL CENTER,AL,35630,Acute Care Hospitals,Proprietary,Yes,Y,2.0,,7,8,11,8,12
010007,MIZELL MEMORIAL HOSPITAL,AL,36467,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,1.0,,7,8,11,8,12
010008,CRENSHAW COMMUNITY HOSPITAL,AL,36049,Acute Care Hospitals,Proprietary,Yes,,,16,7,8,11,8,12
010011,ST. VINCENT'S EAST,AL,35235,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,2.0,,7,8,11,8,12
010012,DEKALB REGIONAL MEDICAL CENTER,AL,35968,Acute Care Hospitals,Proprietary,Yes,Y,3.0,,7,8,11,8,12
010016,SHELBY BAPTIST MEDICAL CENTER,AL,35007,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,2.0,,7,8,11,8,12
010018,CALLAHAN EYE HOSPITAL,AL,35233,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,,16,7,8,11,8,12
010019,HELEN KELLER HOSPITAL,AL,35660,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2.0,,7,8,11,8,12
010021,DALE MEDICAL CENTER,AL,36360,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,3.0,,7,8,11,8,12
010022,FLOYD CHEROKEE MEDICAL CENTER,AL,35960,Acute Care Hospitals,Proprietary,Yes,,,16,7,8,11,8,12
010023,BAPTIST MEDICAL CENTER SOUTH,AL,36116,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,1.0,,7,8,11,8,12
010024,JACKSON HOSPITAL & CLINIC INC,AL,36106,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2.0,,7,8,11,8,12
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,36801,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3.0,,7,8,11,8,12
010033,UNIVERSITY OF ALABAMA HOSPITAL,AL,35233,Acute Care Hospitals,Government - State,Yes,Y,3.0,,7,8,11,8,12
010034,COMMUNITY HOSPITAL INC,AL,36078,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,,16,7,8,11,8,12
010035,CULLMAN REGIONAL MEDICAL CENTER,AL,35058,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2.0,,7,8,11,8,12
010036,ANDALUSIA HEALTH,AL,36420,Acute Care Hospitals,Proprietary,Yes,Y,2.0,,7,8,11,8,12
010039,HUNTSVILLE HOSPITAL,AL,35801,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2.0,,7,8,11,8,12
010040,GADSDEN REGIONAL MEDICAL CENTER,AL,35903,Acute Care Hospitals,Proprietary,Yes,Y,1.0,,7,8,11,8,12
010044,MARION REGIONAL MEDICAL CENTER,AL,35570,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,,16,7,8,11,8,12
010045,FAYETTE MEDICAL CENTER,AL,35555,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,2.0,,7,8,11,8,12
010046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,35901,Acute Care Hospitals,Proprietary,Yes,,2.0,,7,8,11,8,12
010049,MEDICAL CENTER ENTERPRISE,AL,36330,Acute Care Hospitals,Proprietary,Yes,Y,3.0,,7,8,11,8,12
010051,GREENE COUNTY HOSPITAL,AL,35462,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,,16,7,8,11,8,12
010052,LAKE MARTIN COMMUNITY HOSPITAL,AL,36853,Acute Care Hospitals,Proprietary,Yes,,,16,7,8,11,8,12
010055,FLOWERS HOSPITAL,AL,36302,Acute Care Hospitals,Proprietary,Yes,Y,2.0,,7,8,11,8,12
010056,ST VINCENT'S BIRMINGHAM,AL,35205,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,,7,8,11,8,12
010058,BIBB MEDICAL CENTER,AL,35042,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,,16,7,8,11,8,12
010059,LAWRENCE MEDICAL CENTER,AL,35650,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,,16,7,8,11,8,12
010061,HIGHLANDS MEDICAL CENTER,AL,35768,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3.0,,7,8,11,8,12
010062,WIREGRASS MEDICAL CENTER,AL,36340,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,,16,7,8,11,8,12
010065,RUSSELL MEDICAL CENTER,AL,35010,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,,7,8,11,8,12
010073,CLAY COUNTY HOSPITAL,AL,36251,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,,16,7,8,11,8,12
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,36207,Acute Care Hospitals,Government - Local,Yes,Y,1.0,,7,8,11,8,12
010079,ATHENS LIMESTONE HOSPITAL,AL,35611,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3.0,,7,8,11,8,12
010083,BALDWIN HEALTH,AL,36535,Acute Care Hospitals,Proprietary,Yes,Y,4.0,,7,8,11,8,12
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,35601,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3.0,,7,8,11,8,12
010086,NORTHWEST MEDICAL CENTER,AL,35594,Acute Care Hospitals,Proprietary,Yes,,4.0,,7,8,11,8,12
010087,USA HEALTH UNIVERSITY HOSPITAL,AL,36617,Acute Care Hospitals,Government - State,Yes,,2.0,,7,8,11,8,12
010089,WALKER BAPTIST MEDICAL CENTER,AL,35502,Acute Care Hospitals,Proprietary,Yes,Y,3.0,,7,8,11,8,12
010090,"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",AL,36608,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3.0,,7,8,11,8,12
